region,year,n_countries,n_countries_with_pop,internet_ggi_direct_unweighted,internet_ggi_direct_pop_weighted,internet_ggi_coherent_mean_of_ratios_unweighted,internet_ggi_coherent_mean_of_ratios_pop_weighted,internet_ggi_coherent_ratio_of_means_unweighted,internet_ggi_coherent_ratio_of_means_pop_weighted,mobile_ggi_direct_unweighted,mobile_ggi_direct_pop_weighted,mobile_ggi_coherent_mean_of_ratios_unweighted,mobile_ggi_coherent_mean_of_ratios_pop_weighted,mobile_ggi_coherent_ratio_of_means_unweighted,mobile_ggi_coherent_ratio_of_means_pop_weighted
Middle East & North Africa,2019,19,19,0.8433333333333334,0.7739211326161123,0.8229948885988057,0.7568398844276951,0.8229928647471059,0.756845339098006,0.9110219298245614,0.8690818605479418,0.9107743366280834,0.8686995565675542,0.9107832557707882,0.8687089119256999
Middle East & North Africa,2020,19,19,0.8541140350877193,0.791690312180469,0.8294458309608926,0.7624799584567435,0.8294503677857304,0.7624861646196226,0.9184298245614034,0.8803077494550513,0.9150619603752813,0.8757745657291621,0.9150757599843722,0.8757980708735658
Middle East & North Africa,2021,19,19,0.8623684210526317,0.8145116212880621,0.8380105087321574,0.7735523036597457,0.8380161289189759,0.7735456682161868,0.9251447368421054,0.8952471423421359,0.9224432716410815,0.8944166391424796,0.922451345575213,0.894422297746901
Middle East & North Africa,2022,19,19,0.8623947368421053,0.8199567298879258,0.8462144156691277,0.7824649704316816,0.8462160927593099,0.7824605107854742,0.9246885964912281,0.8982587929857749,0.9229372764885796,0.8988387033654835,0.9229445444416434,0.8988425584224343
Middle East & North Africa,2023,19,19,0.8510087719298247,0.8027027407745967,0.8488321772878904,0.7870868937244482,0.848868055073793,0.7871359603072882,0.9165657894736843,0.8861415547604483,0.9155103796963824,0.8837164359393148,0.9155589635800481,0.8838011420436566
Middle East & North Africa,2024,19,19,0.8783991228070175,0.8473436831246259,0.8635247987838127,0.8067658969762608,0.8635376648418079,0.8067878177791968,0.9326535087719298,0.9139604575401156,0.9297546390588964,0.9111384990422199,0.9297803951379139,0.9111731525691174
Middle East & North Africa,2025,19,0,0.8890263157894737,,0.8698966199339715,,0.8698888020848367,,0.9380482456140351,,0.9361257232560631,,0.9361369191222911,
Middle East & North Africa,2026,19,0,0.8975263157894737,,0.8747742780655036,,0.8747737669142976,,0.9430631578947368,,0.9411315943617456,,0.9411325531031842,
North America,2015,3,3,0.9540000000000001,0.9729894153825119,0.9920075223319228,0.9999955475095316,0.9920075223319228,0.9999955475095316,1.0,1.0,1.0,1.0,1.0,1.0
North America,2016,3,3,0.9640000000000001,0.9816807543770826,0.9936160510715913,0.9999964658712884,0.9936160510715913,0.9999964658712884,1.0,1.0,1.0,1.0,1.0,1.0
North America,2017,3,3,0.9736666666666666,0.9923696655688029,0.9946737683089214,0.999997078465409,0.9946737683089214,0.999997078465409,1.0,1.0,1.0,1.0,1.0,1.0
North America,2018,3,3,0.9833333333333334,0.999472746959855,0.9952627045650302,0.9999974166046123,0.9952627045650302,0.9999974166046123,1.0,1.0,1.0,1.0,1.0,1.0
North America,2019,3,3,0.9872777777777778,0.9999930939713285,0.9943073792863011,0.9999969098636089,0.9943040596520297,0.9999969080616053,1.0,1.0,1.0,1.0,1.0,1.0
North America,2020,3,3,0.9922222222222222,0.9999957964686351,0.9965944021859916,0.999998159430928,0.9965909090909092,0.9999981575430706,1.0,1.0,1.0,1.0,1.0,1.0
North America,2021,3,3,0.9975555555555555,0.9999986775860833,0.9988084625493543,0.9999993553931199,0.9988075769964567,0.9999993549140468,1.0,1.0,1.0,1.0,1.0,1.0
North America,2022,3,3,0.9997222222222222,0.9999998496893356,0.9983824540093283,0.9999991247161156,0.9983820373122008,0.9999991244906331,1.0,1.0,1.0,1.0,1.0,1.0
North America,2023,3,3,1.0,1.0,0.9962682679834657,0.9999979968054238,0.9962669756066164,0.9999979961116757,1.0,1.0,1.0,1.0,1.0,1.0
North America,2024,3,3,1.0,1.0,0.9971103487886608,0.9999984488345873,0.9971109040074557,0.9999984491326289,1.0,1.0,1.0,1.0,1.0,1.0
North America,2025,3,0,1.0,,0.995733522316124,,0.9957315056963357,,1.0,,1.0,,1.0,
North America,2026,3,0,1.0,,0.9956645624089457,,0.995663729192894,,1.0,,1.0,,1.0,
South Asia,2015,8,8,0.5745,0.43355584805742353,0.5817934824225584,0.5211293591226076,0.5817934824225584,0.5211293591226076,0.769,0.6786627069199103,0.7730421443903848,0.6856203174890295,0.7730421443903848,0.6856203174890295
South Asia,2016,8,8,0.5922499999999999,0.4609086143757683,0.6037935885446226,0.5625069013141447,0.6037935885446226,0.5625069013141447,0.7751250000000001,0.6940640461928249,0.777820800203709,0.7021540652748248,0.777820800203709,0.7021540652748248
South Asia,2017,8,8,0.6078749999999999,0.48985525905779936,0.6274406578319792,0.6026084622229118,0.6274406578319792,0.6026084622229118,0.78725,0.7116216041424144,0.7856817998562363,0.7193505276900083,0.7856817998562363,0.7193505276900083
